"BirthOrder",President,Date of birth,Birthplace,State of birth,In office,Date Started Office,Date Ended Office,Id
30,Herbert Hoover,"August 10, 1874",West Branch,Iowa,"March 4, 1929 - March 4, 1933",4-Mar-29,4-Mar-33,30
31,Franklin D. Roosevelt,"January 30, 1882",Hyde Park,New York,"March 4, 1933 - April 12, 1945",4-Mar-33,12-Apr-45,31
32,Harry S. Truman,"May 8, 1884",Lamar,Missouri,"April 12, 1945 - January 20, 1953",12-Apr-45,20-Jan-53,32
33,Dwight D. Eisenhower,"October 14, 1890",Denison,Texas,"January 20, 1953 - January 20, 1961",20-Jan-53,20-Jan-61,33
34,Lyndon B. Johnson,27-Aug-08,Stonewall,Texas,"November 22, 1963 - January 20, 1969",22-Nov-63," January 20, 1969",34
35,Ronald Reagan,6-Feb-11,Tampico,Illinois,"January 20, 1981 - January 20, 1989",20-Jan-81,20-Jan-89,35
36,Richard M. Nixon,9-Jan-13,Yorba Linda,California,"January 20, 1969 - August 9, 1974",20-Jan-69," August 9, 1974",36
37,Gerald R. Ford,14-Jul-13,Omaha,Nebraska,"August 9, 1974 - January 20, 1977",9-Aug-74,20-Jan-77,37
38,John F. Kennedy,29-May-17,Brookline,Massachusetts,"January 20, 1961 - November 22, 1963",20-Jan-61,22-Nov-63,38
39,George H. W. Bush,12-Jun-24,Milton,Massachusetts,"January 20, 1989 - January 20, 1993",20-Jan-89,20-Jan-93,39
40,Jimmy Carter,1-Oct-24,Plains,Georgia,"January 20, 1977 - January 20, 1981",20-Jan-77,20-Jan-81,40
41,Donald Trump,14-Jun-46,New York City,New York,"January 20, 2017 - Incumbent",20-Jan-17,Incumbent,41
42,George W. Bush,6-Jul-46,New Haven,Connecticut,"January 20, 2001 - January 20, 2009",20-Jan-01,20-Jan-09,42
43,Bill Clinton,19-Aug-46,Hope,Arkansas,"January 20, 1993 - January 20, 2001",20-Jan-93,20-Jan-01,43
44,Barack Obama,4-Aug-61,Honolulu,Hawaii,"January 20, 2009 - January 20, 2017",20-Jan-09,20-Jan-17,44
