Birth Order	President	Date of birth	State of birth	In office	Date Started Office	Date Ended Office
22	Benjamin Harrison	"August 20, 1833"	Ohio	"March 4, 1889 - March 4, 1893"	"March 4, 1889 "	"March 4, 1893"
23	Grover Cleveland	"March 18, 1837"	New Jersey	"March 4, 1885 - March 4, 1889"	"March 4, 1885 "	"March 4, 1889"
				"March 4, 1893 - March 4, 1897"	"March 4, 1893 "	"March 4, 1897"
24	William McKinley	"January 29, 1843"	Ohio	"March 4, 1897 - September 14, 1901"	"March 4, 1897 "	"mber 14, 1901"
25	Woodrow Wilson	"December 28, 1856"	Virginia	"March 4, 1913 - March 4, 1921"	4-Mar-13	4-Mar-21
26	William H. Taft	"September 15, 1857"	Ohio	"March 4, 1909 - March 4, 1913"	4-Mar-09	4-Mar-13
27	Theodore Roosevelt	"October 27, 1858"	New York	"September 14, 1901 - March 4, 1909"	14-Sep-01	4-Mar-09
28	Warren G. Harding	"November 2, 1865"	Ohio	"March 4, 1921 - August 2, 1923"	4-Mar-21	" August 2, 1923"
29	Calvin Coolidge	"July 4, 1872"	Vermont	"August 2, 1923 - March 4, 1929"	2-Aug-23	4-Mar-29
30	Herbert Hoover	"August 10, 1874"	Iowa	"March 4, 1929 - March 4, 1933"	4-Mar-29	4-Mar-33
31	Franklin D. Roosevelt	"January 30, 1882"	New York	"March 4, 1933 - April 12, 1945"	4-Mar-33	12-Apr-45
32	Harry S. Truman	"May 8, 1884"	Missouri	"April 12, 1945 - January 20, 1953"	12-Apr-45	20-Jan-53
33	Dwight D. Eisenhower	"October 14, 1890"	Texas	"January 20, 1953 - January 20, 1961"	20-Jan-53	20-Jan-61
34	Lyndon B. Johnson	27-Aug-08	Texas	"November 22, 1963 - January 20, 1969"	22-Nov-63	" January 20, 1969"
35	Ronald Reagan	6-Feb-11	Illinois	"January 20, 1981 - January 20, 1989"	20-Jan-81	20-Jan-89
36	Richard M. Nixon	9-Jan-13	California	"January 20, 1969 - August 9, 1974"	20-Jan-69	" August 9, 1974"
37	Gerald R. Ford	14-Jul-13	Nebraska	"August 9, 1974 - January 20, 1977"	9-Aug-74	20-Jan-77
38	John F. Kennedy	29-May-17	Massachusetts	"January 20, 1961 - November 22, 1963"	20-Jan-61	22-Nov-63
39	George H. W. Bush	12-Jun-24	Massachusetts	"January 20, 1989 - January 20, 1993"	20-Jan-89	20-Jan-93
40	Jimmy Carter	1-Oct-24	Georgia	"January 20, 1977 - January 20, 1981"	20-Jan-77	20-Jan-81
41	Donald Trump	14-Jun-46	New York	"January 20, 2017 - Incumbent"	20-Jan-17	Incumbent
42	George W. Bush	6-Jul-46	Connecticut	"January 20, 2001 - January 20, 2009"	20-Jan-01	20-Jan-09
43	Bill Clinton	19-Aug-46	Arkansas	"January 20, 1993 - January 20, 2001"	20-Jan-93	20-Jan-01
44	Barack Obama	4-Aug-61	Hawaii	"January 20, 2009 - January 20, 2017"	20-Jan-09	20-Jan-17
